Sample	Mapping speed, Million of reads per hour	Number of input reads	Average input read length	Uniquely mapped reads number	Uniquely mapped reads %	Average mapped length	Number of splices: Total	Number of splices: Annotated (sjdb)	Number of splices: GT/AG	Number of splices: GC/AG	Number of splices: AT/AC	Number of splices: Non-canonical	Mismatch rate per base, %	Deletion rate per base	Deletion average length	Insertion rate per base	Insertion average length	Number of reads mapped to multiple loci	% of reads mapped to multiple loci	Number of reads mapped to too many loci	% of reads mapped to too many loci	% of reads unmapped: too many mismatches	% of reads unmapped: too short	% of reads unmapped: other	Number of chimeric reads	% of chimeric reads
s050-c19.1-5.000-HCMYYBBXX-l6	59.79	4550828.0	50.0	3656080.0	80.34	49.88	776881.0	771860.0	770854.0	4667.0	663.0	697.0	0.11	0.0	1.34	0.0	1.24	848750.0	18.65	11971.0	0.26	0.0	0.68	0.07	0.0	0.0
s210-c14-5.000-HFWGVBBXX-l2	38.07	20187166.0	50.0	7223617.0	35.78	49.83	1410404.0	1400782.0	1399204.0	8393.0	1281.0	1526.0	0.13	0.01	1.32	0.0	1.19	8896831.0	44.07	93070.0	0.46	0.0	19.65	0.04	0.0	0.0
s160-c48.1-5.000-HCN2JBBXX-l5	35.2	18295884.0	50.0	13738498.0	75.09	49.84	2825754.0	2808377.0	2802936.0	17601.0	2580.0	2637.0	0.12	0.0	1.34	0.0	1.2	3293803.0	18.0	44516.0	0.24	0.0	6.6	0.07	0.0	0.0
s086-c18-0.000-HFJYFBBXX-l2	144.26	45442836.0	50.0	38446077.0	84.6	49.92	7534518.0	7479671.0	7468672.0	52434.0	6953.0	6459.0	0.1	0.0	1.47	0.0	1.28	5775263.0	12.71	93072.0	0.2	0.0	2.38	0.11	0.0	0.0
s069-c10.1-2.500-HCHFWBBXX-l5	54.64	11731367.0	50.0	9204746.0	78.46	49.89	2140450.0	2125690.0	2123549.0	13924.0	1445.0	1532.0	0.13	0.0	1.39	0.0	1.28	1945166.0	16.58	23245.0	0.2	0.0	4.7	0.06	0.0	0.0
s051-c7.2-0.000-HCMYYBBXX-l6	94.53	9531289.0	50.0	8032459.0	84.27	49.89	1598826.0	1586545.0	1584202.0	11812.0	1366.0	1446.0	0.1	0.0	1.44	0.0	1.29	1137847.0	11.94	16631.0	0.17	0.0	3.5	0.11	0.0	0.0
s167-c54.1-0.625-HCN2JBBXX-l6	13.71	3902285.0	50.0	3264388.0	83.65	49.83	537423.0	532188.0	532282.0	3982.0	535.0	624.0	0.12	0.0	1.46	0.0	1.21	451403.0	11.57	7985.0	0.2	0.0	4.42	0.15	0.0	0.0
s173-c55.1-1.250-HCN2JBBXX-l6	41.56	7227313.0	50.0	5466185.0	75.63	49.84	1066299.0	1058892.0	1058054.0	6385.0	882.0	978.0	0.13	0.0	1.38	0.0	1.21	1127397.0	15.6	16157.0	0.22	0.0	8.48	0.07	0.0	0.0
s164-c51-2.500-HCN2JBBXX-l6	13.61	7365469.0	50.0	5721018.0	77.67	49.82	1377718.0	1372480.0	1372203.0	3986.0	438.0	1091.0	0.13	0.0	1.45	0.0	1.27	1076237.0	14.61	14550.0	0.2	0.0	7.46	0.05	0.0	0.0
s136-c38-0.000-HFJTMBBXX-l2	136.66	14880660.0	50.0	12722946.0	85.5	49.85	2229723.0	2215026.0	2210707.0	14754.0	2063.0	2199.0	0.11	0.0	1.46	0.0	1.2	1662460.0	11.17	28519.0	0.19	0.0	3.02	0.11	0.0	0.0
s155-c45-5.000-HFJTMBBXX-l3	173.58	19334403.0	50.0	15205501.0	78.64	49.83	3042971.0	3024891.0	3021078.0	16876.0	2401.0	2616.0	0.13	0.0	1.33	0.0	1.2	2899724.0	15.0	43908.0	0.23	0.0	6.06	0.07	0.0	0.0
